gppd_idnr,name,country,country_long,latitude,longitude,
WKS0068922,Télagh,DZA,Algeria,34.692,-0.601,
WKS0068906,Zaouiet Kounta,DZA,Algeria,27.241,-0.174,
WRI1023002,Biopio,AGO,Angola,-12.4706,13.7319,
WRI1023001,Biopio (hydro),AGO,Angola,-12.4706,13.7319,
WRI1023003,Cambambe,AGO,Angola,-9.7523,14.4809,
WRI1023004,Capanda,AGO,Angola,-9.7955,15.4672,
WRI1023005,Cazenga,AGO,Angola,-8.8383,13.2344,
WRI1023006,Huambo,AGO,Angola,-12.76,15.75,
WRI1023007,Lobito,AGO,Angola,-12.37,13.57,
WRI1023008,Luanda Diesel,AGO,Angola,-8.8383,13.2344,
WRI1023009,Luanda Refinery,AGO,Angola,-8.8383,13.2344,
WRI1023010,Malongo,AGO,Angola,-5.55,12.2,
WRI1023011,Matala,AGO,Angola,-14.7333,15.0333,
WRI1023012,Namibe,AGO,Angola,-15.1961,12.1522,
WRI1023013,Rio Luachimo,AGO,Angola,-7.3,20.85,
WRI1023014,Xitoto,AGO,Angola,-15.3333,15,
WRI1023843,McMurdo Station Generator,ATA,Antarctica,-77.847,166.6605,
WRI1022458,Ross Island,ATA,Antarctica,-77.8428,166.7271,
ARG0000231,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG,Argentina,-38.9368,-68.3556,
ARG0000232,AGUA DEL CAJON (GENERADOR DEL MEM),ARG,Argentina,-38.9368,-68.3556,
ARG0000210,AGUA DEL TORO,ARG,Argentina,-34.5792,-68.9892,
ARG0000230,ALICURA,ARG,Argentina,-40.58,-70.7489,
ARG0000156,ALMIRANTE BROWN,ARG,Argentina,-34.8386,-58.4033,
ARG0000235,ALTO VALLE,ARG,Argentina,-38.9524,-68.0218,
ARG0000242,ALUMINE,ARG,Argentina,-39.2145,-70.9157,
ARG0000194,ALVAREZ CONDARCO,ARG,Argentina,-33.0452,-69.0516,
ARG0000254,ARROYITO,ARG,Argentina,-39.1009,-68.5982,
ARG0000029,ATUCHA I,ARG,Argentina,-33.967,-59.2059,
ARG0000030,ATUCHA II,ARG,Argentina,-33.9674,-59.2045,
ARG0000328,BANDERA,ARG,Argentina,-23.8219,-64.7847,
ARG0000266,BARILOCHE (PUERTO  MORENO),ARG,Argentina,-41.1167,-71.4167,
ARG0000085,BENJAMIN REOLIN,ARG,Argentina,-32.1883,-64.3233,
ARG0000220,BERNARDO  DE IRIGOYEN,ARG,Argentina,-26.2545,-53.6469,
ARG0000310,C.T. RUFINO,ARG,Argentina,-34.2605,-62.7107,
ARG0000159,C.T. SAN VICENTE,ARG,Argentina,-35.0241,-58.4237,
ARG0000116,CAA CATI,ARG,Argentina,-27.7534,-57.6205,
ARG0000275,CABRA CORRAL,ARG,Argentina,-25.2712,-65.3298,
ARG0000195,CACHEUTA (NUEVA),ARG,Argentina,-33.0291,-69.1109,
ARG0000277,CACHI,ARG,Argentina,-25.1089,-66.2106,
ARG0000278,CAFAYATE,ARG,Argentina,-26.0715,-65.9876,
ARG0000048,CAPITAL CATAMARCA - PREDIO CHOYA,ARG,Argentina,-28.4537,-65.7841,
ARG0000049,CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG,Argentina,-28.4773,-65.7872,
ARG0000050,CAPITAL CATAMARCA - PREDIO RIPIERA,ARG,Argentina,-28.4684,-65.7797,
ARG0000183,CASA DE PIEDRA,ARG,Argentina,-38.2143,-67.1908,
ARG0000086,CASSAFFOUSTH,ARG,Argentina,-31.3992,-64.2006,
ARG0000031,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG,Argentina,-38.7872,-62.2536,
ARG0000259,CENTRAL LOMA DE LA LATA SA,ARG,Argentina,-38.5127,-68.6048,
