"country","max_capacity","avg_capacity"
"Ghana","1.038","0.35133333333333333"
"Greece","1.595","0.16287388888888887"
"Guatemala","0.3","0.0485407894736842"
"Guinea","0.24","0.056713333333333345"
"Guinea-Bissau","0.018237","0.018237"
"Guyana","0.0363","0.02726"
"Honduras","0.371","0.05412174999999999"
"Hungary","1.8868","0.3494833333333333"
"Iceland","0.6900000000000001","0.12423"
"India","4.76","0.19892293643800887"
"Indonesia","5.355","0.27388437078651695"
"Iran","2.8000000000000003","0.573477570093458"
"Iraq","2.1","0.6485928571428571"
"Ireland","0.915","0.12851101694915257"
"Israel","2.59","0.24857288135593222"
"Italy","3.446","0.1845834848484851"
"Jamaica","0.34750000000000003","0.07925000000000001"
"Japan","8.212","0.41257825670498094"
"Jordan","1.031","0.14253030303030298"
"Kazakhstan","4","0.5644848484848486"
"Kenya","0.31","0.10808260869565221"
"Kosovo","0.8","0.7390000000000001"
"Kuwait","5.805","1.9810555555555558"
"Kyrgyzstan","1.2","0.45425000000000004"
"Laos","1.8780000000000001","0.24934299999999995"
"Latvia","0.894","0.5074"
"Lebanon","0.6427999999999999","0.2957571428571429"
"Lesotho","0.07200000000000001","0.07200000000000001"
"Liberia","0.06","0.03665"
"Libya","1.44","0.51925"
"Lithuania","1.8","0.5818"
"Luxembourg","1.296","0.8405"
"Macedonia","0.675","0.11355"
"Madagascar","0.12","0.029994166666666666"
"Malawi","0.128","0.07382000000000001"
"Malaysia","4.18","0.5235363636363638"
"Mali","0.2","0.077875"
"Mauritania","0.12","0.04511485714285714"
"Mauritius","0.15","0.043011695652173915"
"Mexico","2.7784","0.22514765342960294"
"Moldova","2.52","0.4856666666666667"
"Mongolia","0.5700000000000001","0.11300000000000002"
"Montenegro","0.36","0.29516666666666663"
"Morocco","2.02","0.19327911111111118"
"Mozambique","2.075","0.7616666666666667"
"Myanmar","0.79","0.11391714285714283"
"Namibia","0.24","0.03865384615384615"
"Nepal","0.14400000000000002","0.04199642857142858"
"Netherlands","2.465","0.23934774647887325"
"New Zealand","0.8","0.15522209302325576"
"Nicaragua","0.082","0.0539625"
"Niger","0.054","0.023885714285714284"
"Nigeria","1.074","0.4815384615384615"
"North Korea","1.6","0.2970322580645161"
"Norway","1.444","0.10637581699346409"
"Oman","1.0210000000000001","0.5009"
"Pakistan","3.478","0.34604838709677416"
"Palestine","0.0076","0.0076"
"Panama","0.3","0.0960705882352941"
"Papua New Guinea","0.075","0.027126666666666667"
"Paraguay","7","2.9200000000000004"
"Peru","0.9522999999999999","0.2322531249999999"
"Philippines","1.2710000000000001","0.1684495934959351"
"Poland","5.472","0.2005396825396828"
"Portugal","1.296","0.03143894243070362"
"Qatar","2.73","0.879"
"Romania","1.6500000000000001","0.21539558823529412"
"Russia","8.865","0.4187523853211005"
"Rwanda","0.0438","0.01760727272727273"
"Saint Lucia","0.003","0.003"
"Saudi Arabia","6.7940000000000005","0.9371283333333331"
"Senegal","0.327","0.069616"
"Serbia","1.73","0.6631666666666667"
"Sierra Leone","0.053","0.042"
"Singapore","2.807","0.9757142857142858"
"Slovakia","0.88","0.20769533333333332"
"Slovenia","1.099","0.342"
"South Africa","4.116","0.4848336538461541"
"South Korea","5.9","0.753580909090909"
"Spain","2.0169","0.09533783835946924"
"Sri Lanka","0.9","0.07750208333333335"
"Sudan","1.25","0.14726894736842105"
"Suriname","0.005","0.005"
"Swaziland","0.020800000000000003","0.015799999999999998"
"Sweden","3.932","0.15725416666666658"
"Switzerland","1.285","0.07808333333333335"
"Syrian Arab Republic","1.065","0.44255555555555565"
"Taiwan","5.5","0.9541502564102561"
"Tajikistan","3.015","0.52964"
"Tanzania","0.20750000000000002","0.09040909090909091"
"Thailand","4.384","0.2023178571428569"
"Togo","0.101214","0.065038"
"Trinidad and Tobago","0.852","0.35743333333333327"
"Tunisia","0.7000000000000001","0.18711851851851857"
"Turkey","2.795","0.3156116564417176"
"Turkmenistan","1.685","0.4934285714285714"
"Uganda","0.25","0.07022727272727272"
"Ukraine","6","0.7589031250000001"
"United Arab Emirates","4.889","1.0109000000000001"
"United Kingdom","2.18","0.0353163520465285"
"United States of America","6.809","0.12250971727855339"
"Uruguay","0.9450000000000001","0.05765917808219171"
"Uzbekistan","3","0.7899999999999999"
"Venezuela","8.851","0.7231627906976744"
"Vietnam","2.4","0.1752139406779663"
"Western Sahara","0.0234","0.0234"
"Yemen","0.4","0.1492857142857143"
"Zambia","0.99","0.17928913333333335"
"Zimbabwe","0.92","0.835"
